Activity Date,Activity Type,Moving Time,weekday,month,year,day_of_year,Moving Time_normalized
2024-10-10 15:41:02,Run,1272,3,10,2024,284,-0.7577030640625977
2024-10-07 13:28:10,Run,4811,0,10,2024,281,0.8872154518025447
2024-10-06 14:30:09,Ride,3154,6,10,2024,280,0.11704591781312934
2024-10-05 17:18:41,Run,2578,5,10,2024,279,-0.15067746877582855
2024-10-04 18:06:42,Run,24,4,10,2024,278,-1.3377704016720064
2024-10-02 12:12:09,Run,3127,2,10,2024,276,0.10449638406677195
2024-10-01 16:54:15,Run,1543,1,10,2024,275,-0.6317429290528622
2024-09-30 11:22:24,Run,2604,0,9,2024,274,-0.13859273257563254
2024-09-29 10:19:12,Run,2970,6,9,2024,273,0.03152316931943446
2024-09-27 16:03:19,Run,1726,4,9,2024,271,-0.5466849781053288
2024-09-26 16:54:10,Run,2989,3,9,2024,270,0.04035432269650078
2024-09-25 15:10:01,Run,6695,2,9,2024,269,1.7628940287705945
2024-09-24 15:45:12,Run,2382,1,9,2024,268,-0.24177778782346004
2024-09-21 17:19:54,Walk,4350,5,9,2024,265,0.6729437830221461
2024-09-19 11:26:53,Run,5358,3,9,2024,263,1.1414597095528223
2024-09-18 15:35:08,Run,2935,2,9,2024,262,0.01525525520378598
2024-09-17 15:58:46,Run,2646,1,9,2024,261,-0.11907123563685434
2024-09-16 16:56:41,Run,3171,0,9,2024,260,0.12494747609787289
2024-09-15 17:19:06,Run,4234,6,9,2024,259,0.6190272676674254
2024-09-12 17:58:39,Run,2411,3,9,2024,256,-0.22829865898477988
2024-09-11 17:48:26,Run,1261,2,9,2024,255,-0.7628158370703729
2024-09-07 13:22:06,Swim,1393,5,9,2024,251,-0.70146256097707
2024-09-04 13:52:51,Run,3760,2,9,2024,248,0.3987132307869288
2024-09-01 17:35:05,Run,2125,6,9,2024,245,-0.36123075718693604
2024-08-31 15:06:52,Run,2360,5,8,2024,244,-0.2520033338390105
2024-08-30 16:13:34,Run,1542,4,8,2024,243,-0.6322077265990237
2024-08-29 11:10:41,Run,4076,3,8,2024,242,0.5455892553739266
2024-08-28 19:44:58,Run,937,2,8,2024,241,-0.9134102420266617
